Run p Disp_sta Disp_mob Diff_disp Landscape Gendiv_t0 Gendiv_t50 Gendiv_loss Colon_npatches Colon_t Colon_rate Colon_sdrate Colon_meanrate Colon_CV gendivlossSouth gendivlossNortheast gendivlossNorthwest Meangendivloss sdgendivloss cvgendivloss Ae_t0 Ae_t50 Ae_loss AelossSouth AelossNortheast AelossNorthwest MeanAeloss sdAeloss CVAeloss
LHS_146 0.53 2.47 7.23 80.66 Patchy_50 0.4962 0.405433151 0.090766849 67 50 1.34 1.228122154 1.292280702 0.950352468 -0.009460827 0.112926817 0.344492911 0.149319634 0.179761341 1.203869423 1.990196293 1.808547343 0.181648951 -0.035687727 0.322086917 0.679450005 0.321949732 0.357568886 1.110635762
LHS_147 0.68 1.05 49.87 98.66 Continuous 0.5007 0.487955237 0.012744763 229 10 22.9 7.502987059 16.87777778 0.444548279 -0.002429708 -0.001334865 0.001645905 -0.000706222 0.002109276 -2.986702565 1.986509613 1.958500911 0.028008703 -0.000669241 0.004846336 0.013354871 0.005843989 0.007065084 1.208948881
LHS_148 0.62 3.04 27.11 1.76 Patchy_50 0.4932 0.483383763 0.009816237 114 16 7.125 5.553832198 7.104166667 0.781771101 -0.003486373 0.004400536 0.008765759 0.00322664 0.006209848 1.924555262 1.989451926 1.952603837 0.036848088 -0.000600421 0.025008745 0.046371263 0.023593195 0.023517815 0.996804978
LHS_149 0.26 0.28 11.11 58.59 Patchy_50 0.4955 0.372563213 0.122936787 114 48 2.375 1.311507561 1.895833333 0.691784208 -0.000221609 0.073081477 0.156788724 0.076549531 0.078562597 1.026297574 1.990154705 1.730637559 0.259517146 -0.006584093 0.221440629 0.421034752 0.211963763 0.213966884 1.009450301
LHS_15 0.54 3.59 20.46 14.22 Continuous 0.5004 0.464227312 0.036172688 229 20 11.45 3.75149353 8.438888889 0.444548279 -0.004594427 0.017646442 0.027450023 0.013500679 0.016419568 1.216203095 1.990616235 1.895079729 0.095536506 -0.001629352 0.079468765 0.11156287 0.063134094 0.058337259 0.924021483
LHS_150 0.31 2.7 46.87 37.01 Patchy_50 0.4924 0.491249798 0.001150202 114 8 14.25 3.382707249 9.708333333 0.348433365 -0.001984042 0.000155183 0.0000755919 -0.000584422 0.001212759 -2.075141856 1.98824154 1.969010065 0.019231474 -0.003543486 0.000989997 0.005957469 0.00113466 0.004752129 4.188151264
LHS_151 0.67 1.14 10.6 42.48 Continuous 0.4905 0.444502198 0.045997802 229 44 5.204545455 1.954289732 4.118686869 0.474493399 -0.003728276 0.030208319 0.056969952 0.027816665 0.03041971 1.093578597 1.992093381 1.883317167 0.108776214 0.0000166 0.118310459 0.198315656 0.105547576 0.099763701 0.945201251
LHS_152 0.71 1.4 35.48 54.98 Continuous 0.5014 0.48705522 0.01434478 229 14 16.35714286 9.423209379 14.625 0.644322009 0.002658694 0.007316275 0.010397115 0.006790695 0.003895891 0.57371018 1.993139613 1.957008286 0.036131328 0.004375467 0.016497135 0.031803443 0.017558681 0.013744767 0.782790388
LHS_153 0.36 3.41 11.85 71.2 Patchy_50 0.498 0.460998117 0.037001883 114 32 3.5625 2.841526173 3.487268519 0.814828614 0.001705629 0.024241403 0.046023936 0.023990323 0.02216022 0.923714972 1.990921398 1.919286115 0.071635284 0.004438494 0.092362111 0.161735606 0.086178737 0.078830648 0.914734312
LHS_154 0.55 3.56 18.88 85.09 Continuous 0.5052 0.487232991 0.017967009 229 22 10.40909091 3.908579463 8.237373737 0.474493399 0.00185249 0.00328912 0.010742247 0.005294619 0.004772155 0.901321711 1.990010149 1.96333309 0.026677059 0.000706238 0.009838013 0.035014271 0.015186174 0.017768298 1.170031234
